Year,Month,Day,Hour,Minute,Quote
2017,11,16,13,30,2575.93
2017,11,16,13,31,2575.94
2017,11,16,13,32,2575.93
2017,11,16,13,33,2574.9
2017,11,16,13,34,2574.47
2017,11,16,13,35,2574.68
2017,11,16,13,36,2574.88
2017,11,16,13,37,2574.0
2017,11,16,13,38,2573.62
2017,11,16,13,39,2574.63
2017,11,16,13,40,2575.3
2017,11,16,13,41,2575.91
2017,11,16,13,42,2576.35
2017,11,16,13,43,2576.29
2017,11,16,13,44,2576.21
2017,11,16,13,45,2576.18
2017,11,16,13,46,2576.12
2017,11,16,13,47,2576.5
2017,11,16,13,48,2576.93
2017,11,16,13,49,2575.94
2017,11,16,13,50,2575.83
2017,11,16,13,51,2575.54
2017,11,16,13,52,2575.32
2017,11,16,13,53,2576.33
2017,11,16,13,54,2576.97
2017,11,16,13,55,2576.0
2017,11,16,13,56,2575.61
2017,11,16,13,57,2575.32
2017,11,16,13,58,2575.01
2017,11,16,13,59,2574.02
2017,11,16,14,0,2573.56
2017,11,16,14,1,2572.57
2017,11,16,14,2,2571.65
2017,11,16,14,3,2569.66
2017,11,16,14,4,2568.67
2017,11,16,14,5,2568.57
2017,11,16,14,6,2568.53
2017,11,16,14,7,2568.84
2017,11,16,14,8,2569.0
2017,11,16,14,9,2569.41
2017,11,16,14,10,2569.7
2017,11,16,14,11,2569.91
2017,11,16,14,12,2570.16
2017,11,16,14,13,2587.13
2017,11,16,14,14,2587.47
2017,11,16,14,15,2587.31
2017,11,16,14,16,2586.76
2017,11,16,14,17,2586.89
2017,11,16,14,18,2586.65
2017,11,16,14,19,2586.71
2017,11,16,14,20,2586.58
2017,11,16,14,21,2586.78
2017,11,16,14,22,2586.58
2017,11,16,14,23,2586.75
2017,11,16,14,24,2586.92
2017,11,16,14,25,2587.29
2017,11,16,14,26,2587.46
2017,11,16,14,27,2587.15
2017,11,16,14,29,2587.17
2017,11,16,14,30,2587.34
2017,11,16,14,31,2587.19
2017,11,16,14,32,2586.84
2017,11,16,14,33,2586.82
2017,11,16,14,34,2586.85
2017,11,16,14,35,2586.89
2017,11,16,14,36,2586.29
2017,11,16,14,37,2586.46
2017,11,16,14,38,2585.98
2017,11,16,14,39,2586.33
2017,11,16,14,40,2586.22
2017,11,16,14,41,2585.87
2017,11,16,14,42,2586.39
2017,11,16,14,43,2587.09
2017,11,16,14,44,2587.13
2017,11,16,14,45,2586.32
2017,11,16,14,46,2585.9
2017,11,16,14,47,2585.6
2017,11,16,14,48,2585.86
2017,11,16,14,49,2585.88
2017,11,16,14,50,2585.93
2017,11,16,14,51,2586.08
2017,11,16,14,52,2585.84
2017,11,16,14,53,2585.53
2017,11,16,14,54,2585.97
2017,11,16,14,55,2586.03
2017,11,16,14,56,2585.82
2017,11,16,14,57,2585.44
2017,11,16,14,58,2585.74
2017,11,16,14,59,2585.18
2017,11,16,15,0,2585.68
2017,11,16,15,1,2585.67
2017,11,16,15,2,2585.66
2017,11,16,15,3,2585.65
2017,11,16,15,4,2585.65
2017,11,16,15,5,2585.69
2017,11,16,15,6,2585.68
2017,11,16,15,7,2585.67
2017,11,16,15,8,2585.66
2017,11,16,15,9,2585.66
2017,11,16,15,10,2585.7
2017,11,16,15,11,2585.68
2017,11,16,15,12,2585.67
2017,11,16,15,13,2585.66
2017,11,16,15,14,2585.66
2017,11,16,15,15,2585.7
2017,11,16,15,16,2585.69
2017,11,16,15,17,2585.68
2017,11,16,15,18,2585.67
2017,11,16,15,19,2585.67
2017,11,16,15,20,2585.71
2017,11,16,15,21,
2017,11,16,15,22,
2017,11,16,15,23,
2017,11,16,15,24,
2017,11,16,15,25,
2017,11,16,15,26,
2017,11,16,15,27,
2017,11,16,15,28,
2017,11,16,15,29,
2017,11,16,15,30,
2017,11,16,15,31,
2017,11,16,15,32,
2017,11,16,15,33,
2017,11,16,15,34,
2017,11,16,15,35,
2017,11,16,15,36,
2017,11,16,15,37,
2017,11,16,15,38,
2017,11,16,15,39,
2017,11,16,15,40,
2017,11,16,15,41,
2017,11,16,15,42,
2017,11,16,15,43,
2017,11,16,15,44,
2017,11,16,15,45,
2017,11,16,15,46,
2017,11,16,15,47,
2017,11,16,15,48,
2017,11,16,15,49,
2017,11,16,15,50,
2017,11,16,15,51,
2017,11,16,15,52,
2017,11,16,15,53,
2017,11,16,15,54,
2017,11,16,15,55,
2017,11,16,15,56,
2017,11,16,15,57,
2017,11,16,15,58,
2017,11,16,15,59,
2017,11,16,16,0,
2017,11,16,16,1,
2017,11,16,16,2,
2017,11,16,16,3,
2017,11,16,16,4,
2017,11,16,16,5,
2017,11,16,16,6,
2017,11,16,16,7,
2017,11,16,16,8,
2017,11,16,16,9,
2017,11,16,16,10,
2017,11,16,16,11,
2017,11,16,16,12,
2017,11,16,16,13,
2017,11,16,16,14,
2017,11,16,16,15,
2017,11,16,16,16,
2017,11,16,16,17,
2017,11,16,16,18,
2017,11,16,16,19,
2017,11,16,16,20,
2017,11,16,16,21,
2017,11,16,16,22,
2017,11,16,16,23,
2017,11,16,16,24,
2017,11,16,16,25,
2017,11,16,16,26,
2017,11,16,16,27,
2017,11,16,16,28,
2017,11,16,16,29,
2017,11,16,16,30,
2017,11,16,16,31,
2017,11,16,16,32,
2017,11,16,16,33,
2017,11,16,16,34,
2017,11,16,16,35,
2017,11,16,16,36,
2017,11,16,16,37,
2017,11,16,16,38,
2017,11,16,16,39,
2017,11,16,16,40,
2017,11,16,16,41,
2017,11,16,16,42,
2017,11,16,16,43,
2017,11,16,16,44,
2017,11,16,16,45,
2017,11,16,16,46,
2017,11,16,16,47,
2017,11,16,16,48,
2017,11,16,16,49,
2017,11,16,16,50,
2017,11,16,16,51,
2017,11,16,16,52,
2017,11,16,16,53,
2017,11,16,16,54,
2017,11,16,16,55,
2017,11,16,16,56,
2017,11,16,16,57,
2017,11,16,16,58,
2017,11,16,16,59,
2017,11,16,17,0,
2017,11,16,17,1,
2017,11,16,17,2,
2017,11,16,17,3,
2017,11,16,17,4,
2017,11,16,17,5,
2017,11,16,17,6,
2017,11,16,17,7,
2017,11,16,17,8,
2017,11,16,17,9,
2017,11,16,17,10,
2017,11,16,17,11,
2017,11,16,17,12,
2017,11,16,17,13,
2017,11,16,17,14,
2017,11,16,17,15,
2017,11,16,17,16,
2017,11,16,17,17,
2017,11,16,17,18,
2017,11,16,17,19,
2017,11,16,17,20,
2017,11,16,17,21,
2017,11,16,17,22,
2017,11,16,17,23,
2017,11,16,17,24,
2017,11,16,17,25,
2017,11,16,17,26,
2017,11,16,17,27,
2017,11,16,17,28,
2017,11,16,17,29,
2017,11,16,17,30,
2017,11,16,17,31,
2017,11,16,17,32,
2017,11,16,17,33,
2017,11,16,17,34,
2017,11,16,17,35,
2017,11,16,17,36,
2017,11,16,17,37,
2017,11,16,17,38,
2017,11,16,17,39,
2017,11,16,17,40,
2017,11,16,17,41,
2017,11,16,17,42,
2017,11,16,17,43,
2017,11,16,17,44,
2017,11,16,17,45,
2017,11,16,17,46,
2017,11,16,17,47,
2017,11,16,17,48,
2017,11,16,17,49,
2017,11,16,17,50,
2017,11,16,17,51,
2017,11,16,17,52,
2017,11,16,17,53,
2017,11,16,17,54,
2017,11,16,17,55,
2017,11,16,17,56,
2017,11,16,17,57,
2017,11,16,17,58,
2017,11,16,17,59,
2017,11,16,18,0,
2017,11,16,18,1,
2017,11,16,18,2,
2017,11,16,18,3,
2017,11,16,18,4,
2017,11,16,18,5,
2017,11,16,18,6,
2017,11,16,18,7,
2017,11,16,18,8,
2017,11,16,18,9,
2017,11,16,18,10,
2017,11,16,18,11,
2017,11,16,18,12,
2017,11,16,18,13,
2017,11,16,18,14,
2017,11,16,18,15,
2017,11,16,18,16,
2017,11,16,18,17,
2017,11,16,18,18,
2017,11,16,18,19,
2017,11,16,18,20,
2017,11,16,18,21,
2017,11,16,18,22,
2017,11,16,18,23,
2017,11,16,18,24,
2017,11,16,18,25,
2017,11,16,18,26,
2017,11,16,18,27,
2017,11,16,18,28,
2017,11,16,18,29,
2017,11,16,18,30,
2017,11,16,18,31,
2017,11,16,18,32,
2017,11,16,18,33,
2017,11,16,18,34,
2017,11,16,18,35,
2017,11,16,18,36,
2017,11,16,18,37,
2017,11,16,18,38,
2017,11,16,18,39,
2017,11,16,18,40,
2017,11,16,18,41,
2017,11,16,18,42,
2017,11,16,18,43,
2017,11,16,18,44,
2017,11,16,18,45,
2017,11,16,18,46,
2017,11,16,18,47,
2017,11,16,18,48,
2017,11,16,18,49,
2017,11,16,18,50,
2017,11,16,18,51,
2017,11,16,18,52,
2017,11,16,18,53,
2017,11,16,18,54,
2017,11,16,18,55,
2017,11,16,18,56,
2017,11,16,18,57,
2017,11,16,18,58,
2017,11,16,18,59,
2017,11,16,19,0,
2017,11,16,19,1,
2017,11,16,19,2,
2017,11,16,19,3,
2017,11,16,19,4,
2017,11,16,19,5,
2017,11,16,19,6,
2017,11,16,19,7,
2017,11,16,19,8,
2017,11,16,19,9,
2017,11,16,19,10,
2017,11,16,19,11,
2017,11,16,19,12,
2017,11,16,19,13,
2017,11,16,19,14,
2017,11,16,19,15,
2017,11,16,19,16,
2017,11,16,19,17,
2017,11,16,19,18,
2017,11,16,19,19,
2017,11,16,19,20,
2017,11,16,19,21,
2017,11,16,19,22,
2017,11,16,19,23,
2017,11,16,19,24,
2017,11,16,19,25,
2017,11,16,19,26,
2017,11,16,19,27,
2017,11,16,19,28,
2017,11,16,19,29,
2017,11,16,19,30,
2017,11,16,19,31,
2017,11,16,19,32,
2017,11,16,19,33,
2017,11,16,19,34,
2017,11,16,19,35,
2017,11,16,19,36,
2017,11,16,19,37,
2017,11,16,19,38,
2017,11,16,19,39,
2017,11,16,19,40,
2017,11,16,19,41,
2017,11,16,19,42,
2017,11,16,19,43,
2017,11,16,19,44,
2017,11,16,19,45,
2017,11,16,19,46,
2017,11,16,19,47,
2017,11,16,19,48,
2017,11,16,19,49,
2017,11,16,19,50,
2017,11,16,19,51,
2017,11,16,19,52,
2017,11,16,19,53,
2017,11,16,19,54,
2017,11,16,19,55,
2017,11,16,19,56,
2017,11,16,19,57,
2017,11,16,19,58,
2017,11,16,19,59,
2017,11,16,20,0,
2017,11,17,18,46,2582.46
2017,11,17,18,47,2582.37
2017,11,17,18,48,2582.26
2017,11,17,18,49,2582.13
2017,11,17,18,50,2582.41
2017,11,17,18,51,2582.46
2017,11,17,18,52,2582.55
2017,11,17,18,53,2582.2
2017,11,17,18,54,2582.52
2017,11,17,18,55,2582.33
2017,11,17,18,56,2581.91
2017,11,17,18,57,2582.17
2017,11,17,18,58,2581.96
2017,11,17,18,59,2581.96
2017,11,17,19,0,2582.0
2017,11,17,19,1,2582.03
2017,11,17,19,2,2582.0
2017,11,17,19,3,2581.94
2017,11,17,19,4,2582.18
2017,11,17,19,5,2581.68
2017,11,17,19,6,2581.83
2017,11,17,19,7,2582.25
2017,11,17,19,8,2582.17
2017,11,17,19,10,2582.3
2017,11,17,19,11,2582.41
2017,11,17,19,12,2582.41
2017,11,17,19,13,2582.24
2017,11,17,19,14,2582.02
2017,11,17,19,15,2582.01
2017,11,17,19,16,2581.39
2017,11,17,19,17,2581.65
2017,11,17,19,18,2581.72
2017,11,17,19,19,2581.53
2017,11,17,19,20,2581.65
2017,11,17,19,21,2581.63
2017,11,17,19,22,2581.65
2017,11,17,19,23,2581.27
2017,11,17,19,24,2581.28
2017,11,17,19,25,2581.15
2017,11,17,19,26,2581.12
2017,11,17,19,27,2580.87
2017,11,17,19,28,2580.97
2017,11,17,19,29,2581.26
2017,11,17,19,30,2581.53
2017,11,17,19,31,2581.67
2017,11,17,19,32,2581.76
2017,11,17,19,33,2581.48
2017,11,17,19,34,2581.5
2017,11,17,19,35,2581.3
2017,11,17,19,36,2581.23
2017,11,17,19,37,2581.31
2017,11,17,19,38,2581.27
2017,11,17,19,39,2580.86
2017,11,17,19,40,2580.67
2017,11,17,19,41,2580.25
2017,11,17,19,42,2581.08
2017,11,17,19,43,2580.97
2017,11,17,19,44,2580.97
2017,11,17,19,45,2580.94
2017,11,17,19,46,2580.67
2017,11,17,19,47,2580.72
2017,11,17,19,48,2580.8
2017,11,17,19,49,2581.07
2017,11,17,19,50,2581.1
2017,11,17,19,51,2581.23
2017,11,17,19,52,2581.68
2017,11,17,19,53,2581.5
2017,11,17,19,54,2581.53
2017,11,17,19,55,2581.49
2017,11,17,19,56,2581.49
2017,11,17,19,57,2581.64
2017,11,17,19,58,2581.81
2017,11,17,19,59,2581.62
2017,11,17,20,0,2581.66
2017,11,17,20,1,2581.42
2017,11,17,20,2,2581.06
2017,11,17,20,3,2581.02
2017,11,17,20,4,2580.76
2017,11,17,20,5,2580.84
2017,11,17,20,6,2581.05
2017,11,17,20,7,2581.07
2017,11,17,20,8,2581.36
2017,11,17,20,9,2581.38
2017,11,17,20,11,2581.11
2017,11,17,20,12,2581.02
2017,11,17,20,13,2581.06
2017,11,17,20,14,2581.06
2017,11,17,20,15,2580.98
2017,11,17,20,16,2580.54
2017,11,17,20,17,2580.36
2017,11,17,20,18,2579.84
2017,11,17,20,19,2579.97
2017,11,17,20,20,2580.09
2017,11,17,20,21,2579.93
2017,11,17,20,22,2579.96
2017,11,17,20,23,2579.95
2017,11,17,20,24,2580.02
2017,11,17,20,25,2579.94
2017,11,17,20,26,2579.81
2017,11,17,20,27,2580.0
2017,11,17,20,28,2580.11
2017,11,17,20,29,2579.97
2017,11,17,20,30,2579.94
2017,11,17,20,31,2579.82
2017,11,17,20,32,2580.15
2017,11,17,20,33,2580.19
2017,11,17,20,34,2579.92
2017,11,17,20,35,2579.67
2017,11,17,20,36,2580.17
2017,11,17,20,37,2580.42
2017,11,17,20,38,2580.51
2017,11,17,20,40,2580.67
2017,11,17,20,41,2580.64
2017,11,17,20,42,2580.46
2017,11,17,20,43,2580.57
2017,11,17,20,44,2580.15
2017,11,17,20,45,2578.96
2017,11,17,20,46,2578.12
2017,11,17,20,47,2578.29
2017,11,17,20,48,2578.57
2017,11,17,20,49,2579.08
2017,11,17,20,50,2579.19
2017,11,17,20,51,2580.08
2017,11,17,20,52,2579.71
2017,11,17,20,53,2579.76
2017,11,17,20,54,2579.64
2017,11,17,20,55,2580.04
2017,11,17,20,56,2579.69
2017,11,17,20,57,2578.81
2017,11,17,20,58,2579.07
2017,11,17,20,59,2578.94
2017,11,17,21,0,2578.77
2017,11,17,21,1,2578.82
2017,11,17,20,26,2579.81
2017,11,17,20,27,2580.0
2017,11,17,20,28,2580.11
2017,11,17,20,29,2579.97
2017,11,17,20,30,2579.94
2017,11,17,20,31,2579.82
2017,11,17,20,32,2580.15
2017,11,17,20,33,2580.19
2017,11,17,20,34,2579.92
2017,11,17,20,35,2579.67
2017,11,17,20,36,2580.17
2017,11,17,20,37,2580.42
2017,11,17,20,38,2580.51
2017,11,17,20,40,2580.67
2017,11,17,20,41,2580.64
2017,11,17,20,42,2580.46
2017,11,17,20,43,2580.57
2017,11,17,20,44,2580.15
2017,11,17,20,45,2578.96
2017,11,17,20,46,2578.12
2017,11,17,20,47,2578.29
2017,11,17,20,48,2578.57
2017,11,17,20,49,2579.08
2017,11,17,20,50,2579.19
2017,11,17,20,51,2580.08
2017,11,17,20,52,2579.71
2017,11,17,20,53,2579.76
2017,11,17,20,54,2579.64
2017,11,17,20,55,2580.04
2017,11,17,20,56,2579.69
2017,11,17,20,57,2578.81
2017,11,17,20,58,2579.07
2017,11,17,20,59,2578.94
2017,11,17,21,0,2578.77
2017,11,17,21,1,2578.82
2017,11,20,15,20,2580.53
2017,11,20,15,21,2581.11
2017,11,20,15,22,2581.42
2017,11,20,15,23,2581.56
2017,11,20,15,24,2581.74
2017,11,20,15,25,2581.77
2017,11,20,15,26,2580.84
2017,11,20,15,27,2580.62
2017,11,20,15,28,2581.06
2017,11,20,15,29,2580.64
2017,11,20,15,30,2580.35
2017,11,20,15,31,2580.41
2017,11,20,15,32,2580.76
2017,11,20,15,33,2580.6
2017,11,20,15,35,2580.59
2017,11,20,15,36,2580.72
2017,11,20,15,37,2580.97
2017,11,20,15,38,2580.99
2017,11,20,15,39,2581.31
2017,11,20,15,40,2580.95
2017,11,20,15,41,2581.09
2017,11,20,15,42,2581.08
2017,11,20,15,43,2580.77
2017,11,20,15,44,2580.4
2017,11,20,15,45,2580.3
2017,11,20,15,46,2580.32
2017,11,20,15,47,2580.65
2017,11,20,15,48,2580.85
2017,11,20,15,49,2580.8
2017,11,20,15,50,2580.86
2017,11,20,15,51,2580.83
2017,11,20,15,52,2581.9
2017,11,20,15,53,2582.01
2017,11,20,15,54,2581.91
2017,11,20,15,55,2581.94
2017,11,20,15,56,2581.8
2017,11,20,15,57,2581.79
