Tweet,Stock_value,Stock_actual,Time_tweet
"[['accidental', 'compliance', 'from', 'other', 'states', 'will', 'pick', 'up', 'too', 'it', 'll', 'all', 'balance', 'out', 'don', 't', 'worry', 'nidhi']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['sto', 'imparando', 'l', 'italiano', 'exclamationpoint']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['ciao', 'tutti', 'quick', 'reminder', 'saudi', 'oil', 'minister', 'al', 'falih', 'is', 'in', 'dubai', 'tomorrow', 'morning', 'and', 'delivering', 'a', 'speech', 'at', 'am', 'local', 'time', 'oott', 'opec']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['thanks', 'casey', 'exclamationpoint', 'can', 't', 'wait', 'for', 'the', 'big', 'bingo', 'night']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['oott']],2586.25142857,2588.35428571,"[13, 54, 1]"
"[['this', 'week', 'there', 'were', 'choices']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[[]],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['ur', 'turn', 'to', 'run', 'a', 'poll', 'remo']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['oott']],2596.5025,2596.5025,"[11, 56, 8]"
"[['votes', 'expect', 'the', 'opec', 'deal', 'to', 'be', 'extended', 'by', 'months', 'in', 'this', 'upcoming', 'meeting', 'oott']]",2596.5025,2596.5025,"[11, 52, 57]"
"[['amazing', 'exclamationpoint']]",2596.5025,2596.5025,"[12, 11, 37]"
"[['gulf', 'opec', 'members', 'continue', 'to', 'voice', 'concern', 'over', 'a', 'possible', 'supply', 'crunch', 'in', 'a', 'few', 'years', 'time', 'if', 'investment', 'doesn']]",2596.5025,2596.5025,"[12, 0, 11]"
"[['high', 'compliance', 'rates', 'to', 'the', 'opec', 'deal', 'are', 'to', 'some', 'extent', 'accidental', 'as', 'external', 'factors', 'are', 'forcing', 'some', 'members']]",2596.5025,2596.5025,"[11, 58, 33]"
"[['yesterday', 'at', 'the', 'dubai', 'polo', 'club']]",2596.5025,2596.5025,"[11, 49, 29]"
"[['i', 've', 'been', 'asked', 'to', 'redo', 'this', 'poll', 'as', 'the', 'opec', 'meeting', 'draws', 'closer', 'so', 'one', 'more', 'time', 'what', 'do', 'u', 'think', 'opec', 'non', 'op']]",2596.5025,2596.5025,"[11, 46, 36]"
"[['sure', 'why', 'not', 'exclamationpoint']]",2596.5025,2596.5025,"[11, 42, 53]"
"[['our', 'biggest', 'fans', 'this', 'week', 'thank', 'you', 'exclamationpoint', 'via']]",2596.5025,2596.5025,"[11, 0, 21]"
"[['thank', 'you', 'vivian', 'exclamationpoint', 'very', 'well', 'said', 'saudi', 'policy', 'reform']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['a', 'sad', 'day', 'in', 'egypt', 'these', 'cowards', 'continue', 'to', 'target', 'innocent', 'people', 'exclamationpoint', 'egyptattack']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'breakingnews', 'exposes', 'upskirt', 'panties']]",,,"[18, 59, 29]"
"[['get', 'ur', 'face', 'ripped', 'off', 'jr', 'shorty', 'mondaymotivaton', 'options', 'chain', 'cybermonday']]",2591.03285714,2586.73714286,"[14, 10, 55]"
[['rt']],2596.5025,2596.5025,"[9, 5, 4]"
"[['which', 'country', 'are', 'you', 'voting', 'for', 'questionmark', 'misssuniverse']]",2594.53,2592.28,"[7, 28, 44]"
[['rt']],2592.28,2592.28,"[7, 13, 28]"
"[['rt', 'there', 'are', 'currently', 'helicopters', 'hovering', 'over', 'what', 'looks', 'like', 'jamaica', 'plain', 'does', 'anyone', 'know', 'why', 'questionmark']]",2592.28,2592.28,"[7, 12, 20]"
"[['rt', 'brian', 'fincheltub', 'default', 'social']]",2592.28,2582.14,"[7, 10, 53]"
"[['rt', 'when', 'philippines', 'go', 'to', 'top', 'go', 'rachel', 'hahahahah', 'philippines', 'missuniverse']]",2592.28,2582.14,"[7, 10, 8]"
"[['rt', 'loving', 'all', 'the', 'tweets', 'goodvibes', 'for', 'today', 'missuniverse', 'philippines']]",2592.28,2582.14,"[7, 9, 54]"
"[['rt', 'tayoy', 'papasok', 'sa', 'wild', 'card', 'grand', 'entrance', 'exclamationpoint', 'retweet', 'retweet', 'retweet', 'exclamationpoint', 'let', 'her', 'reign', 'exclamationpoint', 'missuniverse', 'philippines']]",2592.28,2582.14,"[7, 9, 46]"
"[['rt', 'can', 't', 'respond', 'without', 'a', 'script', 'canada', 's', 'version', 'of', 'robotrubio']]",2592.28,2582.14,"[7, 3, 22]"
"[['rt', 'the', 'only', 'places', 'i', 'really', 'want', 'to', 'travel', 'to', 'are', 'new', 'zealand', 'canada', 'japan', 'and', 'more', 'of', 'the', 'us', 'not', 'really', 'a', 'eurotrip', 'gal', 'tb']]",2592.28,2582.14,"[7, 3, 12]"
"[['rt', 'i', 'm', 'able', 'to', 'converse', 'in', 'french', 'and', 'english', 'i', 'm', 'a', 'first', 'generation', 'immigrant', 'to', 'canada', 'i', 'did', 'to', 'hours', 'of', 'housewor']]",2592.28,2582.14,"[7, 3, 2]"
"[['rt', 'the', 'team', 'usa', 'board', 'gear', 'is', 'boring', 'compared', 'to', 'canada', 's', 'as', 'it', 'should', 'be', 'justsayin']]",2592.28,2582.14,"[7, 2, 56]"
"[['rt', 'niggas', 'was', 'clowns', 'in', 'nassau', 'and', 'gone', 'to', 'canada', 'and', 'think', 'they', 'get', 'put', 'on', 'lol']]",2592.28,2582.14,"[7, 2, 41]"
"[['rt', 'good', 'monday', 'exclamationpoint', 'new', 'shipping', 'for', 'black', 'white', 'for', 'brazil', 'need', 'dty', 'and', 'acy', 'please', 'contact', 'alanzhan']]",2592.28,2582.14,"[7, 2, 8]"
"[['rt', 'got', 'miles', 'questionmark', 'ramba', 'is', 'ready', 'to', 'head', 'to', 'global', 'sanctuary', 'for', 'elephants', 'in', 'brazil', 'but', 'she', 'can', 't', 'walk', 'across', 'the', 'andes', 's']]",2592.28,2582.14,"[7, 1, 55]"
"[['rt', 'lol', 'usa', 'always', 'gets', 'through', 'no', 'matter', 'how', 'off', 'the', 'bird', 'looking']]",2582.14,2582.14,"[7, 0, 41]"
"[['rt', 'canadian', 'president', 'trudeau', 'pays', 'aircraft', 'multi', 'billion', 'dollar', 'corporation', 'bombardier', 'million', 'dollars', 'with', 'the', 'pro']]",2582.14,2582.14,"[7, 0, 32]"
"[['rt', 'the', 'danger', 'for', 'children', 'covered', 'under', 'chip', 'is', 'real', 'arizona', 'the', 'district', 'of', 'columbia', 'minnesota', 'and', 'north', 'carolina', 'are']]",2582.14,2582.14,"[6, 59, 23]"
"[['very', 'kind', 'words', 'twitter', 'is', 'the', 'place', 'to', 'be', 'huh', 'questionmark', 'all', 'the', 'financial', 'experts', 'and', 'gurus', 'with', 'awesome']]",,,"[17, 15, 7]"
"[['from', 'august', 'as', 'featured', 'on', 'my', 'old', 'blog', 'short', 'side', 'of', 'long']]",2593.94642857,2593.86928571,"[15, 1, 59]"
"[['got', 'asked', 'about', 'my', 'bullish', 'call', 'in', 'late', 'august', 'right', 'at', 'the', 'bottom', 'questionmark', 'spy', 'eem', 'here', 'it', 'is']]",2594.27,2593.26,"[14, 40, 27]"
"[['sure', 'i', 'also', 'bought', 'the', 'panic', 'in', 'august', 'as', 'vix', 'jumped', 'past', 'amp', 'benefited', 'with', 'strong', 'returns', 'but', 'i', 'never', 'had']]",2596.5025,2594.53,"[12, 24, 55]"
"[['that', 's', 'a', 'great', 'chart']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['how', 'did', 'i', 'not', 'follow', 'you', 'before', 'questionmark', 'such', 'amazing', 'content', 'chart', 'and', 'tweets', 'im', 'fan', 'exclamationpoint', 'exclamationpoint', 'exclamationpoint']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['please', 'help', 'us', 'investors', 'understand', 'why', 'spain', 'isn', 't', 'a', 'smart', 'purchase', 'shouldn', 't', 'we', 'be', 'buying', 'low', 'questionmark']]",,,"[17, 15, 7]"
"[['rt', 'the', 'atlas', 'investor', 'podcast', 'episode', 'read', 'the', 'full', 'transcript', 'of', 'the', 'audio', 'interview', 'as', 'tiho', 'discusses', 'investment', 'opportu']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'the', 'atlas', 'investor', 'podcast', 'episode', 'tiho', 'is', 'in', 'budapest', 'hungary', 'enjoying', 'some', 'goulash', 'he', 'discusses', 'the', 'investment', 'and']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['momentum', 'is', 'strong', 'in', 'the', 'stock', 'markets', 'with', 'no', 'signs', 'of', 'slowing', 'yet', 'acwi', 'spy', 'human', 'brain', 'is', 'wired', 'to', 'act', 'a']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['i', 'm', 'a', 'capitalist', 'so', 'writing', 'doesn', 't', 'mean', 'a', 'lot', 'to', 'me', 'i', 'think', 'they', 'value', 'that', 'in', 'universities', 'though', 'whe']]",,,"[19, 31, 50]"
"[['these', 'people', 'sound', 'like', 'smart', 'investors', 'firstly', 'spanish', 'real', 'estate', 'has', 'dropped', 'years', 'in', 'the', 'row', 'by', 'about']]",,,"[19, 23, 13]"
"[['great', 'advice', 'and', 'wisdom', 'by', 'not', 'much', 'else', 'needs', 'to', 'be', 'said']]",2596.5025,2596.5025,"[10, 3, 27]"
"[['first', 'it', 'was', 'as', 'the', 'european', 'markets', 'followed', 'by', 'the', 'japanese', 'market', 'and', 'now', 'we', 'have', 'the', 'chinese', 'market', 'ashr', 'fxi']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['warm', 'regards', 'from', 'feet', 'and', 'a', 'big', 'cheers', 'for', 'my', 'american', 'followers', 'during', 'the', 'thanksgiving', 'holiday', 'enjoy']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['can', 'you', 'show', 'us', 'your', 'performance', 'this', 'year', 'questionmark']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['this', 'is', 'a', 'good', 'statistic', 'to', 'keep', 'in', 'mind', 'but', 'you', 'can', 'always', 'see', 'the', 'difference', 'between', 'analysts', 'and', 'traders', 'as', 's']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['well', 'it', 's', 'offical', 'now', 'it', 's', 'time', 'to', 'short', 'nasdaq', 'because', 'this', 'is', 'probably', 'the', 'top']]",,,"[16, 39, 20]"
"[['from', 'one', 'resistance', 'to', 'the', 'next', 'us', 'dollar', 'is', 'still', 'struggling', 'to', 'find', 'its', 'footing', 'strong', 'rally', 'out', 'of', 'the', 'septem']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['very', 'nice', 'i', 'think', 'it', 'is', 'stunning', 'i', 'love', 'goulash', 'i', 'love', 'thermal', 'baths', 'and', 'i', 'love', 'the', 'old', 'distric']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'lessons', 'from', 'a', 'legendary', 'short', 'seller', 'robert', 'wilson']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['can', 't', 'do', 'what', 'things', 'questionmark']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['endorse']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['at', 'least', 'i', 'had', 'the', 'pot', 'of', 'gold', 'being', 'st']]",2594.53,2594.53,"[8, 29, 24]"
"[['you', 'millennials', 'make', 'me', 'sick', 'to', 'my', 'stomach', 'jealous']]",2594.53,2594.53,"[8, 28, 3]"
[[]],2594.53,2594.53,"[8, 15, 3]"
"[['rt', 'a', 'power', 'plant', 'is', 'burning', 'h', 'amp', 'm', 'clothes', 'instead', 'of', 'coal', 'bloomberg']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['also', 'sad', 'is', 'the', 'fact', 'i', 'haven', 't', 'been', 'to', 'telluride', 'since', 'moving', 'out', 'here', 'or', 'ever']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['no', 'weekly', 'best', 'today', 'you', 'should', 'still', 'leave', 'nyc', 'and', 'move', 'west', 'though']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['tbt']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['don', 't', 'quiz', 'me', 'on', 'it', 'but', 'there', 's', 'a', 'little', 'blurb', 'on', 'the', 'product', 'here']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['many', 'thanks', 'to', 'for', 'having', 'me', 'on', 'exclamationpoint']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['edge']],2594.53,2594.53,"[8, 18, 4]"
[['america']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'roic', 'flowchart', 'ht']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['also', 'i', 'have', 'no', 'position', 'find', 'elon', 'super', 'sketchy', 'the', 'stock', 'untradable', 'like', 'their', 'cars', 'and', 'love', 'america']]",2596.5025,2596.5025,"[11, 29, 32]"
"[['plenty', 'of', 'fired', 'up', 'ppl', 'on', 'both', 'sides', 'that', 'don', 't', 'have', 'a', 'position', 'amp', 'you', 're', 'not', 'the', 'first', 'i', 've', 'seen', 'railing']]",2596.5025,2596.5025,"[11, 26, 59]"
"[['oh', 'and', 'no', 'position', 'also', 'lol']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['if', 'you', 'hate', 'tesla', 'musk', 'then', 'you', 'hate', 'america']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'lidl', 'walk', 'through', 'incoming']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'bank', 'loans', 'when', 'floating', 'rate', 'coupons', 'don', 't', 'float']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'are', 'stocks', 'too', 'expensive', 'questionmark']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['so', 'good']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'places', 'w', 'least', 'political', 'and', 'civil', 'freedom', 'syria', 'tibet', 'eritrea', 'tie', 'n', 'korea', 'turkmenistan', 'uzbekista']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'war', 'is', 'god', 's', 'way', 'of', 'teaching', 'americans', 'geography', 'h', 'l', 'mencken']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['the', 'of', 'vix', 'futures', 'contracts', 'that', 'would', 'have', 'to', 'be', 'bought', 'to', 'cover', 'a', 'one', 'day', 'market', 'drop']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['each', 'dot', 'represents', 'a', 'us', 'adult', 'pointing', 'out', 'the', 'location', 'of', 'north', 'korea', 'wow']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'new', 'home', 'sales', 'jump', 'to', 'highest', 'since', 'at', 'annual', 'pace', 'prices', 'up', 'while', 'supply', 'of', 'homes', 'down']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['terrorism', 'is', 'now', 'viewed', 'as', 'top', 'priority', 'for', 'us', 'gov', 't', 'deficit', 'way', 'down']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['amazon', 'is', 'an', 'amazon']]",2587.55714286,2587.77142857,"[13, 30, 0]"
